checkpoint,pre_acc,pre_auc,pre_loss,pre_loss_denorm,scratch_acc,scratch_auc,scratch_loss,scratch_loss_denorm,task
linear_midmask_bigbatch_mask50_bs48_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,,,0.3865627393363014,1017.1093681068351,,,0.4645638600701377,1222.3429888055875,mass
linear_midmask_bigbatch_mask50_bs48_p5_dim256_d4_h8_lr0.0001_wd0.0001_ep100_seed67,,,0.9751589487469385,11427.584195697711,,,1.0723612237544287,12566.667401659977,pt
linear_midmask_smallbatch_mask50_bs16_p5_dim256_d4_h8_lr8e-05_wd0.0001_ep100_seed67,0.8835,0.9462168988022306,0.28718329977894586,,0.7945,0.8726073366507465,0.43992505470911664,,cls
linear_midmask_smallbatch_mask50_bs16_p5_dim256_d4_h8_lr8e-05_wd0.0001_ep100_seed67,,,0.381746393111017,1004.4367787253713,,,0.48903862871820963,1286.7400812851722,mass
linear_midmask_smallbatch_mask50_bs16_p5_dim256_d4_h8_lr8e-05_wd0.0001_ep100_seed67,,,0.8933834620411434,10469.28272015319,,,1.0573730634318457,12391.025816003585,pt
linear_patch25_mask60_bs64_p25_dim256_d6_h8_lr0.0001_wd0.0001_ep100_seed67,0.845,0.9203105698782225,0.355091357041919,,0.8275,0.9006226400940212,0.39871645706986625,,cls
linear_patch25_mask60_bs64_p25_dim256_d6_h8_lr0.0001_wd0.0001_ep100_seed67,,,0.5575857912264173,1467.0988020039447,,,0.5836724880195799,1535.7371393068192,mass
linear_patch25_mask60_bs64_p25_dim256_d6_h8_lr0.0001_wd0.0001_ep100_seed67,,,1.1391381626091306,13349.205563334679,,,1.1608756567750658,13603.94049152655,pt
linear_wide_mask60_bs16_p5_dim320_d4_h10_lr8e-05_wd0.0001_ep100_seed67,0.8905,0.9480263059188317,0.2806695445425927,,0.819,0.8850921457327897,0.4128850398082582,,cls
linear_wide_mask60_bs16_p5_dim320_d4_h10_lr8e-05_wd0.0001_ep100_seed67,,,0.34783727380018387,915.2163769491518,,,0.4853190758398601,1276.9533333843438,mass
linear_wide_mask60_bs16_p5_dim320_d4_h10_lr8e-05_wd0.0001_ep100_seed67,,,0.7927778060474093,9290.316351737958,,,1.0588583075810993,12408.430929896631,pt
