epoch,train,val,train_acc,val_acc
1,0.6131800548235575,0.5450286054611206,0.6741666666666667,0.74625
2,0.5303017193741268,0.4762445116043091,0.7494444444444445,0.7975
3,0.4892078826824824,0.44350990414619446,0.7734722222222222,0.7975
4,0.49059502866533067,0.42670737981796264,0.7723611111111112,0.81625
5,0.47593297600746154,0.4093727266788483,0.7777777777777778,0.8225
6,0.47742215785715314,0.41741568565368653,0.7745833333333333,0.815
7,0.4681801312499576,0.4519189405441284,0.785,0.81875
8,0.45593028982480366,0.4164334011077881,0.7902777777777777,0.82625
9,0.4407776939206653,0.4071322947740555,0.7997222222222222,0.82125
10,0.43160113553206125,0.39976404964923856,0.8086111111111111,0.8275
