epoch,train,val,train_acc,val_acc
1,0.40024715887175666,0.25191175639629365,0.8197222222222222,0.89875
2,0.304765756825606,0.2448846849799156,0.8783333333333333,0.8975
3,0.2762251140673955,0.2600155006349087,0.89125,0.8975
4,0.2473244600991408,0.2639543268084526,0.9025,0.8975
5,0.1997613123887115,0.28932788848876956,0.9215277777777777,0.89125
6,0.16549595506654846,0.33996095597743986,0.9369444444444445,0.86875
7,0.13324821473823653,0.3620507577061653,0.9497222222222222,0.87125
8,0.10058570127934217,0.39612273827195166,0.9638888888888889,0.8775
9,0.08291257371919022,0.45129851303994656,0.9706944444444444,0.8875
10,0.05932832733779732,0.4505656452476978,0.9802777777777778,0.8775
