epoch,train,val,train_acc,val_acc
1,0.6131050913863711,0.5059754037857056,0.6705555555555556,0.77375
2,0.5299651730060577,0.4593028128147125,0.74375,0.8075
3,0.5051431898276011,0.42621024429798127,0.7606944444444445,0.8225
4,0.47835270563761395,0.4355923104286194,0.7779166666666667,0.805
5,0.4744213789039188,0.4253606677055359,0.7781944444444444,0.815
6,0.47977439741293587,0.4281954205036163,0.7752777777777777,0.82125
7,0.45447253617975447,0.42836459100246427,0.7933333333333333,0.81625
8,0.4526015416781108,0.40367915511131286,0.7904166666666667,0.83125
9,0.438298044734531,0.41334542095661164,0.8061111111111111,0.835
10,0.4315705523225996,0.42866832137107846,0.8076388888888889,0.81375
