epoch,train,val,train_acc,val_acc
1,0.3506614488694403,0.2597826278209686,0.8538888888888889,0.89875
2,0.2699176896280713,0.24927734434604645,0.8954166666666666,0.89875
3,0.2283064507941405,0.3194276624917984,0.9130555555555555,0.86875
4,0.17497044552117585,0.28434084117412567,0.9358333333333333,0.89375
5,0.13464929177943202,0.28895984947681425,0.9476388888888889,0.90125
6,0.10247624395829108,0.3360556767880917,0.9636111111111111,0.9025
7,0.06285993672803872,0.4196078732609749,0.9784722222222222,0.9
8,0.06025555835208959,0.43888418495655057,0.9808333333333333,0.89
9,0.0412491617563905,0.39574948102235796,0.98625,0.90125
10,0.03154450719600491,0.49202880650758746,0.9894444444444445,0.89875
