epoch,train,val,train_acc,val_acc
1,0.674448260333803,0.6832533264160157,0.5809722222222222,0.5225
2,0.6367271175649432,0.5450144839286805,0.6422222222222222,0.72125
3,0.5826266250345442,0.5294256472587585,0.7019444444444445,0.7475
4,0.5482012654675378,0.49494056224822996,0.7297222222222223,0.785
5,0.5324741362200843,0.6492308902740479,0.7416666666666667,0.7025
6,0.5442307957013448,0.4614697659015656,0.7288888888888889,0.7975
7,0.49550203932656184,0.500835884809494,0.7651388888888889,0.77625
8,0.48981944759686785,0.4747379815578461,0.7734722222222222,0.77625
9,0.4778184070852068,0.41933439195156097,0.775,0.81
10,0.46274200797080994,0.44732709527015685,0.7844444444444445,0.80625
