epoch,train,val,train_acc,val_acc
1,0.5079231843021181,0.3829329574108124,0.7679166666666667,0.8575
2,0.35519836439026725,0.36678942024707795,0.8531944444444445,0.86375
3,0.25218681613604227,0.4007408881187439,0.9040277777777778,0.8325
4,0.1945151028285424,0.47558084011077884,0.9229166666666667,0.81125
5,0.1451184567436576,0.6125771260261536,0.9483333333333334,0.7925
6,0.11510669275704358,0.6038979244232178,0.9616666666666667,0.81375
7,0.08918466918429153,0.6151756554841995,0.9695833333333334,0.80125
8,0.07215890741493139,0.7741557121276855,0.9766666666666667,0.77
9,0.05547427361882809,0.7942438530921936,0.9823611111111111,0.8
10,0.0571676436255479,0.6939197504520416,0.9805555555555555,0.82375
