epoch,train,val,train_acc,val_acc
1,0.4459974490933948,0.3362166577577591,0.8033333333333333,0.86875
2,0.31197404480642743,0.3198999208211899,0.8713888888888889,0.8675
3,0.21317612873183356,0.3919047331809998,0.9145833333333333,0.8625
4,0.11993068928933806,0.5308784669637681,0.9558333333333333,0.84875
5,0.06553065046978493,0.6660081845521927,0.9759722222222222,0.84125
6,0.043880938184706286,0.6691996070742607,0.9831944444444445,0.855
7,0.03254003687211985,0.6411562263965607,0.9886111111111111,0.84125
8,0.021235529055379124,0.8152669286727905,0.9923611111111111,0.8575
9,0.007851671561948024,0.9650794744491578,0.9975,0.8575
10,0.02175394640491706,0.7608793091773987,0.9925,0.84875
