epoch,train,val,train_acc,val_acc
1,0.39493959744771323,0.3069943416118622,0.8215277777777777,0.88375
2,0.3139735339085261,0.251269274353981,0.8720833333333333,0.9025
3,0.2881240755319595,0.2548124837875366,0.8841666666666667,0.905
4,0.27339677590462896,0.24403611421585084,0.8897222222222222,0.90375
5,0.24057941532797283,0.258381530046463,0.9033333333333333,0.91
6,0.2336962533990542,0.2589757427573204,0.9072222222222223,0.905
7,0.20071719523933199,0.3185437861084938,0.9238888888888889,0.88125
8,0.18149507298237746,0.30539463832974434,0.9315277777777777,0.895
9,0.16176176466875605,0.3101077651977539,0.9386111111111111,0.90125
10,0.13741438083350657,0.3741543778777123,0.9504166666666667,0.86
