epoch,train,val,train_acc,val_acc
1,0.6062906661298539,0.5157015061378479,0.6711111111111111,0.77875
2,0.5279525187280443,0.48928297996521,0.7540277777777777,0.7825
3,0.49681348456276786,0.43482363641262056,0.7680555555555556,0.82375
4,0.4772660045491324,0.42443273067474363,0.7809722222222222,0.83
5,0.4667595598432753,0.43907575607299804,0.7845833333333333,0.81875
6,0.4659428178601795,0.4380997484922409,0.7854166666666667,0.80875
7,0.44637371559937794,0.3934527516365051,0.7968055555555555,0.8375
8,0.42493160923322043,0.3725289845466614,0.8111111111111111,0.84875
9,0.4198999164501826,0.381006116271019,0.8131944444444444,0.83875
10,0.41331381678581236,0.38935386657714843,0.8169444444444445,0.8375
