epoch,train,val,train_acc,val_acc
1,0.3805282629198498,0.250807112455368,0.8388888888888889,0.90625
2,0.3001037423478232,0.29307574689388277,0.8788888888888889,0.88875
3,0.2684177750017908,0.26306960701942445,0.8956944444444445,0.89875
4,0.2429122531745169,0.2550067621469498,0.9048611111111111,0.89625
5,0.21306859074367418,0.29855871737003326,0.9166666666666666,0.885
6,0.18559079232315223,0.28373439639806747,0.9313888888888889,0.89625
7,0.14999496321711275,0.3581088988482952,0.94375,0.8875
8,0.12937585411386357,0.375996994972229,0.9531944444444445,0.89
9,0.1040819790131516,0.4486871013045311,0.9623611111111111,0.87
10,0.07974957881288396,0.5094288190826773,0.9718055555555556,0.87875
