epoch,train,val,train_acc,val_acc
1,0.40843801962004767,0.33845874965190886,0.8304166666666667,0.865
2,0.34518790634142027,0.28381942212581635,0.8556944444444444,0.8875
3,0.3141186011168692,0.2877317833900452,0.8731944444444445,0.8925
4,0.29456945265332857,0.30045257449150087,0.8788888888888889,0.8825
5,0.27598532186614144,0.2710120305418968,0.8869444444444444,0.895
6,0.2588110245598687,0.27622249245643615,0.8947222222222222,0.89875
7,0.23398394607835346,0.29697410881519315,0.9041666666666667,0.8925
8,0.21980805961622132,0.28477364003658295,0.9098611111111111,0.89875
9,0.1956603864000903,0.3261611807346344,0.92125,0.895
10,0.19102944107519257,0.3095481079816818,0.9205555555555556,0.8875
