epoch,train,val,train_acc,val_acc
1,0.6091781726148393,0.503431795835495,0.6791666666666667,0.775
2,0.5244908278518253,0.4447807502746582,0.7454166666666666,0.8275
3,0.48775318841139476,0.44156911730766296,0.7740277777777778,0.805
4,0.4778100103802151,0.434563010931015,0.7783333333333333,0.825
5,0.4729546334346135,0.4422102189064026,0.7809722222222222,0.805
6,0.4709493071503109,0.4517055308818817,0.7798611111111111,0.83625
7,0.46774538973967233,0.3961770534515381,0.78875,0.825
8,0.4428110851181878,0.4657762372493744,0.8015277777777777,0.78875
9,0.43704984400007457,0.6052820229530335,0.8036111111111112,0.72
10,0.4388445895910263,0.42652114033699035,0.7976388888888889,0.8325
