epoch,train,val,train_acc,val_acc
1,0.3679127225942082,0.25305685102939607,0.8404166666666667,0.9075
2,0.2835738323132197,0.24166855007410049,0.8866666666666667,0.9125
3,0.25277195940415065,0.26309525907039644,0.8995833333333333,0.905
4,0.21536712931262122,0.2732620951533318,0.9143055555555556,0.9075
5,0.18471134593089422,0.2766574187576771,0.92875,0.91375
6,0.13984900558988253,0.348409623131156,0.9470833333333334,0.90375
7,0.11023472998084294,0.36766703277826307,0.9580555555555555,0.89625
8,0.08379159012809395,0.4872423082590103,0.9702777777777778,0.88
9,0.05989564436177413,0.4503080636262894,0.9777777777777777,0.88375
10,0.03971203541978159,0.4284206363558769,0.9856944444444444,0.87875
