epoch,train,val,train_acc,val_acc
1,0.6061817011568281,0.5097718739509582,0.67625,0.7625
2,0.5240168788697984,0.43710949063301086,0.74625,0.80625
3,0.49417316648695203,0.44325741529464724,0.7691666666666667,0.8
4,0.4842195227411058,0.42517750203609467,0.7769444444444444,0.82125
5,0.4836365670628018,0.4704080188274384,0.7727777777777778,0.79375
6,0.466553318368064,0.41308581113815307,0.7816666666666666,0.82
7,0.45318388064702353,0.44264634132385255,0.7884722222222222,0.82625
8,0.44714778270986344,0.41572299480438235,0.7941666666666667,0.82
9,0.43593007544676465,0.4376346319913864,0.7991666666666667,0.82
10,0.42641839345296223,0.4796081650257111,0.8090277777777778,0.785
