epoch,train,val,train_acc,val_acc
1,0.38657653007242415,0.24801322400569917,0.8244444444444444,0.91375
2,0.285731277498934,0.2273937052488327,0.8827777777777778,0.9125
3,0.2405712587469154,0.23830405712127686,0.9056944444444445,0.9025
4,0.1947402994003561,0.3071900197863579,0.9270833333333334,0.8775
5,0.14096145868715312,0.2700816905498505,0.9481944444444445,0.9
6,0.09789695202476449,0.3335856434702873,0.9651388888888889,0.8925
7,0.0613777384120557,0.44612470239400864,0.9791666666666666,0.85125
8,0.04432057799357507,0.4204901897907257,0.9852777777777778,0.89375
9,0.034284260041054546,0.46577166602015496,0.98875,0.8925
10,0.028043930602466894,0.5045851343870162,0.9908333333333333,0.9025
