epoch,train,val,train_acc,val_acc
1,0.6138940269417233,0.5284589672088623,0.6765277777777777,0.77625
2,0.5184819487730662,0.4422947371006012,0.7559722222222223,0.815
3,0.4990250215265486,0.44147545099258423,0.7648611111111111,0.80625
4,0.5063254461023543,0.4388843846321106,0.7586111111111111,0.81375
5,0.47175049318207635,0.4490325880050659,0.7808333333333334,0.82375
6,0.4646347792943319,0.44432193160057065,0.78125,0.80875
7,0.4538766184780333,0.4272537249326706,0.7879166666666667,0.82375
8,0.4522129956881205,0.46354336380958555,0.7880555555555555,0.81375
9,0.4367579754193624,0.42207820773124693,0.7998611111111111,0.82875
10,0.43578814499908025,0.39930455446243285,0.7983333333333333,0.83
