epoch,train,val,train_acc,val_acc
1,0.48835460901260375,0.26741140365600585,nan,nan
2,0.33171687715583376,0.24497104167938233,nan,nan
3,0.30285085529088973,0.239269939661026,nan,nan
4,0.288035693830914,0.23324194848537444,nan,nan
5,0.27665076083607143,0.23434367179870605,nan,nan
6,0.2628340034352408,0.2545080667734146,nan,nan
7,0.25684648080004585,0.25095382928848264,nan,nan
8,0.24654186864693958,0.23362199425697328,nan,nan
9,0.24059670597314833,0.23493487656116485,nan,nan
10,0.23201560974121094,0.2330445384979248,nan,nan
11,0.22321807550059425,0.24453693509101868,nan,nan
12,0.2179080801539951,0.24850782096385957,nan,nan
13,0.20846490912967258,0.2422708225250244,nan,nan
14,0.203901200360722,0.23274989664554596,nan,nan
15,0.19609445446067386,0.22826917052268983,nan,nan
16,0.1899374236000909,0.22847235679626465,nan,nan
17,0.18306546674834356,0.2389189487695694,nan,nan
18,0.18046118809117212,0.23673894882202148,nan,nan
19,0.17522401104370752,0.2334202152490616,nan,nan
20,0.16551580823130077,0.23772015571594238,nan,nan
21,0.16072122385104498,0.2335008478164673,nan,nan
22,0.1533687557114495,0.23502757549285888,nan,nan
23,0.1502959305047989,0.256212375164032,nan,nan
24,0.14432919533716307,0.24259550392627716,nan,nan
25,0.140731370250384,0.2423083609342575,nan,nan
