epoch,train,val,train_acc,val_acc
1,0.6201418544186487,0.498909113407135,0.6636111111111112,0.77375
2,0.5302718471156226,0.4871397340297699,0.7488888888888889,0.785
3,0.5019913607173496,0.42772475361824036,0.7594444444444445,0.82
4,0.478562718100018,0.45468912363052366,0.7745833333333333,0.82125
5,0.46632392830318875,0.4136225402355194,0.78625,0.82
6,0.45684817188315924,0.5028408479690551,0.7886111111111112,0.77875
7,0.4585348474317127,0.3989396643638611,0.7861111111111111,0.82375
8,0.4471114216248194,0.3925534415245056,0.7947222222222222,0.825
9,0.44529804680082535,0.41537600874900815,0.7968055555555555,0.82375
10,0.436153441535102,0.4756296133995056,0.8040277777777778,0.78375
