epoch,train,val,train_acc,val_acc
1,0.3659024000498984,0.2594453310966492,0.8444444444444444,0.89875
2,0.2796893389688598,0.240078581571579,0.8916666666666667,0.9025
3,0.2306906838880645,0.25176955461502076,0.9155555555555556,0.9075
4,0.18542934702502356,0.32318372011184693,0.9338888888888889,0.8825
5,0.13921821229987674,0.30458255499601367,0.9522222222222222,0.9
6,0.09661278808903363,0.3813981693983078,0.9698611111111111,0.88875
7,0.07249166467537482,0.3930929797887802,0.9754166666666667,0.89
8,0.057501103359585005,0.44677487790584564,0.9801388888888889,0.8875
9,0.03891717037030806,0.4067730809748173,0.9868055555555556,0.905
10,0.04001285671773884,0.5096755498647689,0.9873611111111111,0.8875
