epoch,train,val,train_acc,val_acc
1,0.874269181754854,0.5473951709270477,nan,nan
2,0.5881372969680362,0.41765876710414884,nan,nan
3,0.5107622569799424,0.40042866587638853,nan,nan
4,0.4720752547184626,0.5579996424913406,nan,nan
5,0.4456470073593987,0.31459845185279844,nan,nan
6,0.4171671594513787,0.4007126474380493,nan,nan
7,0.4132803765270445,0.3641762888431549,nan,nan
8,0.392149812579155,0.2879450672864914,nan,nan
9,0.37891139268875124,0.42494245409965514,nan,nan
10,0.3826784053444862,0.31808429479599,nan,nan
11,0.36553460634417007,0.2927733016014099,nan,nan
12,0.3699430941210853,0.3158406412601471,nan,nan
13,0.33994275444083744,0.2740305608510971,nan,nan
14,0.3250080206327968,0.30270681977272035,nan,nan
15,0.31988144314951367,0.30757871925830843,nan,nan
16,0.31750996119446223,0.27566754043102265,nan,nan
17,0.2972675832774904,0.35083834171295164,nan,nan
18,0.30782212542163,0.3267900902032852,nan,nan
19,0.27918103449874454,0.33422603964805603,nan,nan
20,0.2888027040494813,0.41657710254192354,nan,nan
21,0.29011820319626064,0.3386087018251419,nan,nan
22,0.27617685778273476,0.37398088335990903,nan,nan
23,0.2994390227397283,0.2929127675294876,nan,nan
24,0.26163446370098326,0.30554147124290465,nan,nan
25,0.24790159834755793,0.3147918838262558,nan,nan
