epoch,train,val,train_acc,val_acc
1,0.3998459038469527,0.3289055925607681,0.8245833333333333,0.86125
2,0.3202106089062161,0.27203542709350587,0.8716666666666667,0.8925
3,0.2931102391084035,0.29686528325080874,0.8831944444444444,0.88125
4,0.2615352942877346,0.2603356724977493,0.8954166666666666,0.89125
5,0.2350321781800853,0.26192557215690615,0.9077777777777778,0.8925
6,0.20608019658260876,0.32727983564138413,0.9206944444444445,0.87625
7,0.15407609139879544,0.4153685873746872,0.9411111111111111,0.86375
8,0.12040845781978633,0.43232961744070053,0.9538888888888889,0.86125
9,0.08226651679931415,0.532938123345375,0.9701388888888889,0.86125
10,0.059194076610470395,0.4916966038942337,0.9779166666666667,0.8825
