epoch,train,val,train_acc,val_acc
1,0.6088488993379805,0.5083602142333984,0.6751388888888888,0.775
2,0.5286153211858537,0.47522058606147766,0.7501388888888889,0.79125
3,0.48702953378359476,0.4474528968334198,0.76875,0.80125
4,0.47353075835439895,0.4519186973571777,0.7795833333333333,0.79625
5,0.47679169919755726,0.4293174707889557,0.7801388888888889,0.8025
6,0.45794726550579073,0.4166400355100632,0.7886111111111112,0.8175
7,0.4498296140962177,0.43716548919677733,0.7906944444444445,0.80125
8,0.46268259478939905,0.43030226945877076,0.7830555555555555,0.80875
9,0.4329117390182283,0.39860225200653077,0.8055555555555556,0.8175
10,0.41302416496806676,0.4102769297361374,0.8127777777777778,0.8175
